size,count,method,workers,time_sec,images_per_sec
256,100,sequential,1,1.6020550000000002,62.419829531445544
256,100,threadpool,1,0.7378383999999998,135.5310322693967
256,100,threadpool,2,0.27763269999999984,360.18811905081805
256,100,threadpool,4,0.14768079999999983,677.1360935206209
256,100,threadpool,8,0.10252720000000037,975.3509312650656
256,100,processpool,1,1.3120183,76.21844908718117
256,100,processpool,2,0.9201424000000005,108.67883058100567
256,100,processpool,4,0.8232163000000003,121.47475699885918
256,100,processpool,8,0.8324359000000001,120.12936972083975
256,100,cuda,1,2.0753727,48.18411652037246
256,500,sequential,1,10.2586492,48.73936034385501
256,500,threadpool,1,4.3634071999999975,114.58935118409309
256,500,threadpool,2,1.0196572999999987,490.3608300553536
256,500,threadpool,4,0.5372844000000008,930.6058392910705
256,500,threadpool,8,0.37760940000000076,1324.119579650292
256,500,processpool,1,5.6650358999999995,88.26069398783511
256,500,processpool,2,2.2280997000000013,224.4064751680545
256,500,processpool,4,1.4597351000000032,342.5279011239772
256,500,processpool,8,1.2762241000000003,391.7807225235755
256,500,cuda,1,5.463609499999997,91.51459305428038
256,1000,sequential,1,16.538430199999993,60.46523085365142
256,1000,threadpool,1,8.429988600000001,118.62412245729487
256,1000,threadpool,2,1.8433106000000095,542.5021697374251
256,1000,threadpool,4,0.9841387999999966,1016.1168323004879
256,1000,threadpool,8,0.707774900000004,1412.8785861154363
256,1000,processpool,1,9.921059200000002,100.79568923447204
256,1000,processpool,2,3.7436416000000037,267.11958751606966
256,1000,processpool,4,2.2322925,447.96996809333905
256,1000,processpool,8,1.8083479999999952,552.990906617533
256,1000,cuda,1,10.512290000000007,95.12675164022295
512,100,sequential,1,4.0392406999999935,24.757128239473364
512,100,threadpool,1,2.164293299999997,46.20445851770651
512,100,threadpool,2,1.0860272000000037,92.07872510007084
512,100,threadpool,4,0.5162686999999977,193.6975842231002
512,100,threadpool,8,0.35830649999999764,279.0906667894684
512,100,processpool,1,3.0624374000000074,32.653728693360314
512,100,processpool,2,1.8493177999999943,54.07399420478206
512,100,processpool,4,1.168989400000001,85.54397499241645
512,100,processpool,8,0.9829983000000055,101.7295757276482
512,100,cuda,1,2.6330415000000045,37.97889247093136
512,500,sequential,1,22.624107499999994,22.10031931646365
512,500,threadpool,1,10.839696099999998,46.12675442072588
512,500,threadpool,2,4.6084708000000205,108.49585940741943
512,500,threadpool,4,2.474682999999999,202.04608024542952
512,500,threadpool,8,1.7092172000000119,292.5315752731698
512,500,processpool,1,12.365061800000007,40.436514437800845
512,500,processpool,2,5.832321400000012,85.72915751865098
512,500,processpool,4,3.0581129999999916,163.49951751292426
512,500,processpool,8,2.1456684000000052,233.0276197384455
512,500,cuda,1,12.843092499999983,38.9314333755675
512,1000,sequential,1,46.161607299999986,21.663023852291214
512,1000,threadpool,1,21.2791579,46.99434088037854
512,1000,threadpool,2,10.148158899999999,98.54004158330632
512,1000,threadpool,4,5.053064900000038,197.89969450026112
512,1000,threadpool,8,3.3935222000000067,294.67908004255816
512,1000,processpool,1,22.1904404,45.064450365753
512,1000,processpool,2,10.872828200000015,91.97239040344614
512,1000,processpool,4,5.438196500000004,183.8844918531354
512,1000,processpool,8,3.5757449999999835,279.6620005061895
512,1000,cuda,1,25.14503719999999,39.76927900508337
1024,100,sequential,1,8.18887970000003,12.211682631019679
1024,100,threadpool,1,6.350562400000001,15.74663686479169
1024,100,threadpool,2,3.5440657999999985,28.216180410645887
1024,100,threadpool,4,2.023048500000016,49.430352262933496
1024,100,threadpool,8,1.415668299999993,70.63801598156891
1024,100,processpool,1,7.226573900000005,13.837816008496077
1024,100,processpool,2,4.136034900000027,24.177745695520933
1024,100,processpool,4,2.4657516999999984,40.55558392193345
1024,100,processpool,8,1.7616431999999804,56.76518377841842
1024,100,cuda,1,7.582646199999999,13.188008165276129
1024,500,sequential,1,41.394562399999984,12.078881162420506
1024,500,threadpool,1,31.47615929999995,15.885038426527496
1024,500,threadpool,2,17.495243499999958,28.579196397009348
1024,500,threadpool,4,9.97742310000001,50.11313993489957
1024,500,threadpool,8,6.763912400000038,73.92171430250889
1024,500,processpool,1,31.75306939999996,15.746509217782917
1024,500,processpool,2,16.65785440000002,30.015870471289475
1024,500,processpool,4,9.26954109999997,53.94010281695624
1024,500,processpool,8,6.090748200000007,82.09172068548153
1024,500,cuda,1,38.26329480000004,13.0673535202201
1024,1000,sequential,1,85.89075160000004,11.642697046791234
1024,1000,threadpool,1,63.55765580000002,15.733745799982756
1024,1000,threadpool,2,34.72290429999998,28.799434268521154
1024,1000,threadpool,4,19.998115199999916,50.004712444100946
1024,1000,threadpool,8,13.404815699999972,74.60005585902998
1024,1000,processpool,1,66.64266480000003,15.00540236500266
1024,1000,processpool,2,33.900183800000036,29.498365138657416
1024,1000,processpool,4,17.760404300000005,56.30502454271267
1024,1000,processpool,8,10.934089399999948,91.4570901532966
1024,1000,cuda,1,75.61902930000008,13.2241845638185
